date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
5/20/2002 3:10,winnipeg (canada),mb,ca,light,300,5 minutes,A bright Light &#44high in the sky  thought it was a shooting star&#44but it was going really slow and in moving in a pattern not straight,6/12/2002,49.883333,-97.166667,5,20,2002,3:10
5/20/2004 0:15,indore (india),,in,light,14400,4 hours,V-shaped light being focus towards sky which would last for 5to 10 sec .,6/4/2004,22.719569,75.857726,5,20,2004,0:15
5/20/2005 11:00,becej (serbia),,rs,other/unspecified,60,1 minute,Strange things.,6/2/2013,45.616667,20.033333,5,20,2005,11:00
5/20/2005 23:40,hamilton (canada),on,ca,triangle,180,3 minutes,LIGHTS  TRIANGLE  ACTION,9/2/2005,43.25,-79.833333,5,20,2005,23:40
5/20/2006 1:20,newcastle upon tyne (uk/england),,gb,other/unspecified,10,8-10  seconds,Well I was watching a movie with my girlfriend.We live on the sixth floor of an 8 storey building. All of a sudden a very bright light,7/16/2006,54.988056,-1.619444,5,20,2006,1:20
5/20/2006 13:00,bowland&#44 lancashire (uk/england),,gb,changing,1800,30 minutes,Spacecraft land in bowland,7/16/2006,53.962873,-2.745362,5,20,2006,13:00
5/20/2006 13:30,accrington&#44 lancashire (uk/england),,gb,changing,7200,2 hours,Sighting in the forest of bowland,7/16/2006,53.753609,-2.37218,5,20,2006,13:30
5/20/2006 13:30,bucharest (romania),,ro,light,10,10 seconds,Flash over Bucharest&#44 mid day - very strange,7/16/2006,44.4325,26.103889,5,20,2006,13:30
5/20/2007 20:43,aylmer (canada),qc,ca,light,180,2-3 minute,brie light in the air not far from us no glod nothig on the river you see very much  in nice night clear,6/12/2007,45.4,-75.85,5,20,2007,20:43
5/20/2010 23:40,port hawkesbury (canada),ns,ca,light,900,15 mins,Five UFO&#39s one very Close and Zipped away very fast,6/3/2010,45.6,-61.35,5,20,2010,23:40
5/20/2011 18:00,ferizaj (kosovo),,rs,triangle,120,2min,At ~1800 HLT at least 15 people spotted three triangular aircraft hovering.,5/29/2011,42.372541,21.147384,5,20,2011,18:00
5/20/2011 23:40,ottawa (canada),on,ca,round,180,3 minutes,Was no manmade too fast second third objects found on you tube months later exactly.,2/4/2013,45.416667,-75.7,5,20,2011,23:40
5/20/2012 4:30,waiparous (canada),ab,ca,disk,300,5 minutes,Streaking white lights appearing and falling downward&#44 then travelling across at low altitude,5/29/2012,51.282376,-114.841158,5,20,2012,4:30
5/20/2012 20:38,stouffville (canada),on,ca,other/unspecified,300,5 minutes,Awesome UFO Sighting May 20th 2012 North East of Toronto Ontario Canada,5/29/2012,43.966667,-79.25,5,20,2012,20:38
5/20/2012 21:15,albir (spain),,es,round,300,4-5 minutes,Slow flying bright object accelrating fast into space,5/29/2012,27.461572,-109.910413,5,20,2012,21:15
5/20/2012 21:50,dunnville (canada),on,ca,triangle,120,2 min.,Brilliant red light moving E to W horizontaly constant speed  no noise,5/29/2012,42.9,-79.616667,5,20,2012,21:50
5/20/2012 22:00,st. catharines (canada),on,ca,round,600,10mins approx.,3 Spheres of Shinny Reddish Orange balls of Flickering Light drifting through the Air,5/29/2012,43.166667,-79.233333,5,20,2012,22:00
5/20/2012 22:26,port dover (canada),on,ca,round,40,40 seconds,Bright glowing object in the night sky,5/29/2012,42.783333,-80.2,5,20,2012,22:26
5/20/2012 22:30,mississauga (canada),on,ca,chevron,120,2 min,A very faint V shape air craft flying south in Mississauga at about 10:30 pm.,5/29/2012,43.15,-79.5,5,20,2012,22:30
5/20/2013 21:45,corunna (canada),on,ca,flare,120,2 minutes,2 Fireballs appears in sky&#33,6/2/2013,42.88475,-82.450903,5,20,2013,21:45
5/20/2013 22:05,oshawa (canada),on,ca,round,90,1.5,Two spherical lights moving together&#44 one in line with the other&#44 at an immense speed.,6/2/2013,43.9,-78.866667,5,20,2013,22:05
